;accessionNumber;filingDate;reportDate;acceptanceDateTime;act;form;fileNumber;filmNumber;items;size;isXBRL;isInlineXBRL;primaryDocument;primaryDocDescription
398;0000000000-19-014924;2019-10-28;;2019-10-28T16:47:05.000Z;;UPLOAD;;;;45688;0;0;filename1.pdf;
399;0001564590-19-037581;2019-10-23;2019-10-23;2019-10-23T17:25:52.000Z;34;8-K;001-34756;191164451;2.02,9.01;22648129;1;1;tsla-8k_20191023.htm;8-K
400;0001771364-19-000014;2019-10-21;2019-10-17;2019-10-21T21:33:39.000Z;;4;;;;4586;0;0;xslF345X03/edgardoc.xml;PRIMARY DOCUMENT
401;0001771340-19-000010;2019-10-11;2019-06-18;2019-10-11T20:48:13.000Z;;4;;;;5444;0;0;xslF345X03/edgardoc.xml;PRIMARY DOCUMENT
402;0001771340-19-000009;2019-10-11;2019-06-18;2019-10-11T20:02:29.000Z;;4;;;;5492;0;0;xslF345X03/edgardoc.xml;PRIMARY DOCUMENT
403;0001790565-19-000001;2019-10-11;2019-10-01;2019-10-11T19:14:29.000Z;;3;;;;19988;0;0;xslF345X02/edgardoc.xml;PRIMARY DOCUMENT
404;0001564590-19-036274;2019-10-02;2019-09-26;2019-10-02T17:26:27.000Z;34;8-K;001-34756;191133283;1.01,2.02,2.03,7.01,9.01;188393;1;1;tsla-8k_20190926.htm;8-K
405;0001564590-19-035971;2019-09-30;;2019-09-30T21:33:04.000Z;;CORRESP;;;;71520;0;0;filename1.htm;
406;9999999997-19-007129;2019-09-26;;2019-09-26T17:00:40.000Z;;SEC STAFF LETTER;;;;141488;0;0;filename1.pdf;
407;9999999997-19-007092;2019-09-25;;2019-09-25T09:36:18.000Z;34;CT ORDER;001-34756;191112264;20190925,20190925;115129;0;0;filename1.pdf;
408;0001771364-19-000013;2019-09-19;2019-09-17;2019-09-19T20:40:28.000Z;;4;;;;4588;0;0;xslF345X03/edgardoc.xml;PRIMARY DOCUMENT
409;0000000000-19-013672;2019-09-18;;2019-09-18T09:28:21.000Z;;UPLOAD;;;;48132;0;0;filename1.pdf;
410;9999999997-19-006839;2019-09-17;;2019-09-18T09:26:38.000Z;;SEC STAFF LETTER;;;;142096;0;0;filename1.pdf;
